CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
hardliner_type;Hardliner;Harter Verfechter;Pur et dur;Twardogłowy;Duro;Intransigente;Hårdlinjeanhängare;Zastánce tvrdé linie;Keményvonalas;Hardliner;Linha-dura;Жёсткий сторонник;Kovaa linjaa ajava;强硬派
bureaucrat_type;Bureaucrat;Bureaucrate;Bürokrat;Biurokrata;Burócrata;Burocrate;Byråkrat;Byrokrat;Bürokrata;Bureaucraat;Burocrata;Бюрократ;Byrokraatti;官僚
administrator_type;Administrator;Administrateur;Verwalter;Administrator;Administrador;Amministratore;Administratör;Správce;Adminisztrátor;Beheerder;Administrador;Администратор;Ylläpitäjä;管理员
reformer_type;Reformer;Réformateur;Reformer;Reformator;Reformador;Riformatore;Reformist;Reformátor;Reformátor;Hervormer;Reformador;Реформатор;Uudistaja;改革派
ambitious_type;Ambitious;Ambitieux;Ehrgeizig;Ambitny;Ambicioso;Ambizioso;Ambitiös;Ambiciózní;Ambiciózus;Ambitieus;Ambicioso;Амбициозный;Kunnianhimoinen;雄心勃勃者
lethargic_type;Lethargic;Léthargique;Lethargisch;Leniwy;Letárgico;Letargico;Lethargisk;Letargický;Letargikus;Lethargisch;Letárgico;Летаргический;Laiska;懒散者
visionary_type;Visionary;Visionnaire;Hellseher;Wizjoner;Visionario;Visionario;Visionär;Vizionář;Látnok;Visionair;Visionário;Визионер;Visionääri;远见者
traditionalist_type;Traditionalist;Traditionaliste;Traditionalist;Tradycjonalista;Tradicionalista;Tradizionalista;Traditionalist;Tradicionalista;Tradicionalista;Traditionalist;Tradicionalista;Традиционалист;Perinteiden kannattaja;传统派
dictator_type;Dictator;Dictateur;Diktator;Dyktator;Dictador;Dittatore;Diktator;Diktátor;Diktátor;Dictator;Ditador;Диктатор;Diktaattori;独裁者
autocrat_type;Autocrat;Autocrate;Autokrat;Autokrata;Autócrata;Autocrate;Autokrat;Autokrat;Autokrata;Autocraat;Autocrata;Автократ;Itsevaltias;专制者
democrat_type;Democrat;Démocrate;Demokrat;Demokrata;Demócrata;Democratico;Demokrat;Demokrat;Demokrata;Democraat;Democrata;Демократ;Demokraatti;民主派
zealous_type;Zealous;Zélé;Eifrig;Gorliwy;Entusiasta;Zelante;Ivrig;Horlivý;Buzgó;Ijverig;Zeloso;Ревностный;Intoilija;狂热者
religious_type;Religious;Religieux;Religiös;Religijny;Religioso;Religioso;Religiös;Náboženský;Vallásos;Religieus;Religioso;Религиозный;Uskonnollinen;虔诚者
moral_type;Moral;Morale;Moralisch;Moralny;Moral;Morale;Moralisk;Morální;Morális;Moreel;Moral;Моральный;Moraalinen;道德者
parental_type;Parental;Parental;Elterlich;Rodzicielski;Paternal;Parentale;Föräldralik;Rodičovský;Szülői;Ouderlijk;Parental;Родительский;Vanhempain;家长型
liberal_type;Liberal;Libéral;Liberaler;Liberalny;Liberal;Liberale;Liberal;Liberální;Liberális;Liberaal;Liberal;Либеральный;Liberaali;自由派
courageous_type;Courageous;Courageux;Mutig;Odważny;Valeroso;Coraggioso;Modig;Odvážný;Bátor;Moedig;Corajoso;Мужественный;Rohkea;勇敢者
fortunate_type;Fortunate;Fortuné;Glücklich;Szczęśliwy;Afortunado;Fortunato;Lycklig;Šťastný;Szerencsés;Gelukkig;Afortunado;Счастливый;Onnekas;幸运者
honest_type;Honest;Honnête;Ehrlich;Szczery;Honesto;Onesto;Ärlig;Poctivý;Őszinte;Eerlijk;Honesto;Честный;Rehellinen;诚实者
loyal_type;Loyal;Fidèle;Loyal;Lojalny;Leal;Leale;Lojal;Loajální;Hűséges;Loyaal;Leal;Лояльный;Lojal;忠诚者
reputable_type;Reputable;Réputé;Achtbar;Reputacja;Respetable;Rispettabile;Anseende;Reputovaný;Tiszteletreméltó;Reputabel;Reputado;Авторитетный;Kunniallinen;受尊敬者
iron_lady;Iron Lady;Dame de fer;Eiserne Lady;Żelazna Dama;Dama de hierro;Dama di ferro;Järnlady;Železná lady;Vaslady;IJzeren Dame;Dama de ferro;Железная леди;Rautarouva;铁娘子
controversial_figure;Controversial;Controversé;Kontrovers;Kontrowersyjny;Controvertido;Controverso;Kontroversiell;Kontroverzní;Ellentmondásos;Controversieel;Controverso;Противоречивый;Kiistanalainen;争议人物
courteous_figure;Courteous;Courtois;Höflich;Uprzejmy;Cortés;Cortese;Artig;Zdvořilý;Udvarias;Hoffelijk;Cortês;Учтивый;Kohtelias;彬彬有礼者
supreme_leader;Supreme Leader;Guide Suprême;Oberster Führer;Najwyższy Przywódca;Líder Supremo;Guida Suprema;Högsta Ledaren;Nejvyšší Vůdce;Legfőbb Vezető;Opperste Leider;Líder Supremo;Верховный лидер;Korkein Johtaja;最高领袖
fascist_dictatorship_gov;Fascist Dictatorship;Dictature fasciste;Faschistische Diktatur;Dyktatura faszystowska;Dictadura fascista;Dittatura fascista;Fascistisk diktatur;Fasistická diktatura;Fasiszta diktatúra;Fascistische dictatuur;Ditadura fascista;Фашистская диктатура;Fasismin diktatuuri;法西斯独裁政权
proletarian_dictatorship_gov;Proletarian Dictatorship;Dictature du prolétariat;Proletarische Diktatur;Dyktatura proletariacka;Dictadura del proletariado;Dittatura del proletariato;Proletär diktatur;Proletářská diktatura;Proletár diktatúra;Proletarische dictatuur;Dictadura del proletariado;Диктатура пролетариата;Työväen diktatuuri;无产阶级专政
authoritarian_gov;Authoritarian Government;Gouvernement autoritaire;Autoritäre Regierung;Rząd autorytarny;Gobierno autoritario;Governo autoritario;Auktoritär regering;Autoritářská vláda;Tekintélyelvű kormány;Autoritaire regering;Governo autoritário;Авторитарное правительство;Autoritaarinen hallitus;专制政府
theocracy_gov;Theocracy;Théocratie;Theokratie;Teokracja;Teocracia;Teocrazia;Teokrati;Teokracie;Teokrácia;Theocratie;Teocracia;Теократия;Teokratia;神权政治
absolute_monarchy_gov;Absolute Monarchy;Monarchie absolue;Absolute Monarchie;Monarchia absolutna;Monarquía absoluta;Monarchia assoluta;Absolut monarki;Absolutní monarchie;Abszolút monarchia;Absolute monarchie;Monarquia absoluta;Абсолютная монархия;Absoluuttinen monarkia;绝对君主制
constitutional_monarchy_gov;Constitutional Monarchy;Monarchie constitutionnelle;Konstitutionelle Monarchie;Monarchia konstytucyjna;Monarquía constitucional;Monarchia costituzionale;Konstitutionell monarki;Konstituční monarchie;Alkotmányos monarchia;Constitutionele monarchie;Monarquia constitucional;Конституционная монархия;Perustuslaillinen monarkia;立宪君主制
presidential_republic_gov;Presidential Republic;République présidentielle;Präsidentielle Republik;Republika prezydencka;República presidencial;Repubblica presidenziale;Presidentiell republik;Prezidentská republika;Prezidens köztársaság;Presidemtiele republiek;República presidencial;Президентская республика;Presidentiaalinen tasavalta;总统制共和国
parliamentary_republic_gov;Parliamentary Republic;République parlementaire;Parlamentarische Republik;Republika parlamentarna;República parlamentaria;Repubblica parlamentare;Parlamentarisk republik;Parlamentní republika;Parlamentáris köztársaság;Parlementaire republiek;República parlamentar;Парламентская республика;Parlamentaarinen tasavalta;议会制共和国
direct_democracy_gov;Direct Democracy;Démocratie directe;Direkte Demokratie;Demokracja bezpośrednia;Democracia directa;Democrazia diretta;Direkt demokrati;Přímá demokracie;Közvetlen demokrácia;Directe democratie;Democracia directa;Прямая демократия;Suora demokratia;直接民主
anarchy_gov;Anarchy;Anarchie;Anarchie;Anarchia;Anarquía;Anarchia;Anarki;Anarchie;Anarchia;Anarchie;Anarquia;Анархия;Anarkia;无政府状态
totalitarian_gov_ruler;Comrade;Camarade;Genosse;Towarzysz;Camarada;Compagno;Kamrat;Soudruh;Elvtárs;Kameraad;Camarada;Товарищ;Toveri;同志
authoritarian_gov_ruler;Generalissimus;Generalissimus;Generalissimus;Generalissimus;Generalísimo;Generalissimo;Generalissimus;Generalissimus;Generalissimus;Generalissimus;Generalíssimo;Генералиссимус;Kenraalieversti;大元帅
theocracy_gov_ruler;Your Holiness;Votre Sainteté;Eure Heiligkeit;Wasza Świątobliwość;Su Santidad;Sua Santità;Ers Helighet;Vaše Svatosti;Őszentsége;Uw Heiligheid;Sua Santidade;Ваше Святейшество;Pyhyytenne;圣座
absolute_monarchy_gov_ruler;Your Highness;Votre Altesse;Eure Hoheit;Wasza Wysokość;Su Alteza;Sua Altezza;Ers Höghet;Vaše Výsosti;Őfelsége;Uw Hoogheid;Sua Alteza;Ваше Высочество;Teidän Ylhäisyytenne;殿下
constitutional_monarchy_gov_ruler;Prime Minister;Premier Ministre;Premierminister;Premier;Primer Ministro;Primo Ministro;Statsminister;Premiér;Miniszterelnök;Premier;Primeiro Ministro;Премьер-министр;Pääministeri;首相
republic_gov_ruler;President;Président;Präsident;Prezydent;Presidente;Presidente;President;Prezident;Elnök;President;Presidente;Президент;Presidentti;总统
constitutional_republic_gov_ruler;President;Président;Präsident;Prezydent;Presidente;Presidente;President;Prezident;Elnök;President;Presidente;Президент;Presidentti;总统
national_culture;Culture;Culture;Kultur;Kultura;Cultura;Cultura;Kultur;Kultura;Kultúra;Cultuur;Cultura;Культура;Kulttuuri;文化
national_culture_desc;National Culture;Culture nationale;Nationale Kultur;Kultura narodowa;Cultura nacional;Cultura nazionale;National kultur;Národní kultura;Nemzeti kultúra;Nationale cultuur;Cultura nacional;Национальная культура;Kansallinen kulttuuri;民族文化
national_identity;Identity;Identité;Identität;Tożsamość;Identidad;Identità;Identitet;Národní identita;Nemzeti identitás;Identiteit;Identidade;Национальная идентичность;Kansallinen identiteetti;身份
national_identity_desc;National Identity;Identité nationale;Nationale Identität;Tożsamość narodowa;Identidad nacional;Identità nazionale;National identitet;Národní identita;Nemzeti identitás;Nationale identiteit;Identidade nacional;Национальная идентичность;Kansallinen identiteetti;民族认同
national_religion;Religion;Religion;Religion;Religia;Religión;Religione;Religion;Náboženství;Vallás;Religie;Religião;Религия;Uskonto;宗教
national_religion_desc;National Religion;Religion nationale;Nationale Religion;Religia narodowa;Religión nacional;Religione nazionale;National religion;Národní náboženství;Nemzeti vallás;Nationale religie;Religião nacional;Национальная религия;Kansallinen uskonto;国教
national_idealism;Idealism;Idéalisme;Idealismus;Idealizm;Idealismo;Idealismo;Idealism;Idealismus;Idealizmus;Idealism;Idealismo;Идеализм;Idealismi;理想主义
national_idealism_desc;National Idealism;Idéalisme national;Nationaler Idealismus;Idealizm narodowy;Idealismo nacional;Idealismo nazionale;National idealism;Národní idealismus;Nemzeti idealizmus;Nationaal idealisme;Idealismo nacional;Национальный идеализм;Kansallinen idealismi;民族理想主义
national_attitude;Attitude;Attitude;Einstellung;Postawa;Actitud;Atteggiamento;Hållning;Postoj;Hozzáállás;Houding;Atitude;Отношение;Asenne;态度
national_attitude_desc;National Attitude;Attitude nationale;Nationale Haltung;Postawa narodowa;Actitud nacional;Atteggiamento nazionale;National attityd;Národní postoj;Nemzeti hozzáállás;Nationale houding;Atitude nacional;Национальное отношение;Kansallinen asenne;民族态度
abkhaz;Abkhaz;Abkhaze;Abchasisch;Abchaski;Abjaso;Abcaso;Abchazisk;Abcházský;Abház;Abchazisch;Abcasiano;Абхаз;Abhaasilainen;阿布哈兹
aborigine;Aborigine;Aborigène;Aborigine;Aborygen;Aborigen;Aborigeno;Aboriginer;Aboridžinec;Aborigi;Aborigene;Aborígine;Абориген;Aboriginaali;原住民
ache;Ache;Ache;Ache;Ache;Ache;Ache;Ache;Ache;Ache;Ache;Ache;Аче;Ache;阿切
afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afár;Afar;Afar;Афар;Afar;阿法尔
african_minor;African minority;Minorité africaine;Afrikanische Minderheit;Mniejszość afrykańska;Minoría africana;Minoranza africana;Afrikansk minoritet;Africká menšina;Afrikai kisebbség;Afrikaanse minderheid;Minoria africana;Африканское меньшинство;Afrikkalainen vähemmistö;非洲少数民族
afrikaaner;Afrikaner;Afrikaner;Afrikaner;Afrykaner;Afrikáner;Afrikaner;Afrikaner;Afrikanec;Afrikán;Afrikaner;Afrikaner;Африканер;Afrikaaner;阿非利卡人
afro_american;Afro-American;Afro-américain;Afroamerikanisch;Afroamerykanin;Afroamericano;Afroamericano;Afroamerikan;Afroameričan;Afroamerikai;Afro-Amerikaan;Afro-americano;Афроамериканец;Afroamerikkalainen;非裔美国人
afro_antillean;Afro-Antillean;Afro-antillais;Afroantillanisch;Afroantylejczyk;Afroantillano;Afroantillano;Afroantillansk;Afroantilský;Afro-antillai;Afro-Antilliaans;Afro-antilhano;Афроантилийский;Afroantillalainen;非裔安的列斯
afro_brazilian;Afro-Brazilian;Afro-brésilien;Afrobrasilianisch;Afro-brazylijski;Afrobrasileño;Afrobrasiliano;Afrobrasiliansk;Afrobrazilský;Afro-brazíliai;Afro-Braziliaans;Afro-brasileiro;Афробразильский;Afrobrasilialainen;非裔巴西人
afro_caribbean;Afro-Caribbean;Afro-caribéen;Afrokaribisch;Afrokaraibski;Afrocaribeño;Afrocaraibico;Afrokaribisk;Afrokaribský;Afro-karibi;Afro-Caribisch;Afro-caribenho;Афрокарибский;Afrokaribialainen;非裔加勒比人
afro_caribeno;Afro-Caribbean;Afro-caribéen;Afrokaribisch;Afrokaraibski;Afrocaribeño;Afrocaraibico;Afrokaribisk;Afrokaribský;Afro-karibi;Afro-Caribisch;Afro-caribenho;Афрокарибский;Afrokaribialainen;非裔加勒比人
aimara;Aymara;Aymara;Aymara;Ajmara;Aymara;Aymara;Aymara;Aymara;Aymara;Aymara;Aymara;Аймара;Aymara;艾马拉
aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Aimat;Аймат;Aimat;艾马特
ainu;Ainu;Aïnous;Ainu;Ajnowie;Ainu;Ainu;Ainu;Ainu;Ainu;Ainu;Ainu;Айны;Ainu;阿伊努
akan;Akan;Akan;Akan;Akan;Akan;Akan;Akan;Akan;Akan;Akan;Akan;Акан;Akan;阿坎
albanian;Albanian;Albanais;Albanisch;Albański;Albanés;Albanese;Albansk;Albánský;Albán;Albanees;Albanês;Албанский;Albaanilainen;阿尔巴尼亚人
algerian;Algerian;Algérien;Algerisch;Algierski;Algeriano;Algerino;Algerisk;Alžírský;Algériai;Algerijns;Argelino;Алжирский;Algerialainen;阿尔及利亚人
altay;Altay;Altaï;Altaisch;Altajski;Altaico;Altaj;Altajisk;Altajský;Altaji;Altaj;Altaico;Алтайский;Altaalainen;阿尔泰
ambon_timor;Ambon Timor;Ambon-Timorais;Ambon-Timoresisch;Ambon-Timorczyk;Ambon Timor;Ambon Timor;Ambon-Timor;Ambonsko-timorský;Ambon-timori;Ambon-Timoriaans;Ambon-Timorense;Амбон-тиморский;Ambon-timorialainen;安汶帝汶
american_spanish;American Spanish;Espagnol américain;Amerikanisches Spanisch;Amerykański hiszpański;Español americano;Spagnolo americano;Amerikansk spanska;Americká španělština;Amerikai spanyol;Amerikaans Spaans;Espanhol americano;Американский испанский;Amerikkalainen espanja;美洲西班牙语
amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Amhara;Амхара;Amhara;阿姆哈拉
andean_white_spanish;Andean White Spanish;Espagnol blanc andin;Andines Weißspanisch;Andyjski biały hiszpański;Español andino blanco;Spagnolo bianco andino;Andinskt vitt spanskt;Andské bílé španělština;Andoki fehér spanyol;Andes-wit Spaans;Espanhol branco andino;Андский белый испанский;Andien valkoinen espanja;安第斯白人西班牙语
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglo-kanadisch;Anglo-kanadyjski;Anglo-canadiense;Anglo-canadese;Anglo-kanadensisk;Anglo-kanadský;Anglo-kanadai;Anglo-Canadees;Anglo-canadense;Англо-канадский;Anglo-kanadalainen;英裔加拿大人
arab;Arab;Arabe;Arabisch;Arabski;Árabe;Arabo;Arabisk;Arabský;Arab;Arabisch;Árabe;Араб;arabialainen;阿拉伯人
arab_awazi;Arab Awazi;Arabe Awazi;Arabisch Awazi;Arabski Awazi;Árabe Awazi;Arabo Awazi;Arabisch Awazi;Arabský Awazi;Awazi arab;Arabisch Awazi;Árabe Awazi;Арабский Awazi;Awazi-arabialainen;阿拉伯阿瓦兹
arab_gulf;Arab Gulf;Golfe arabe;Arabischer Golf;Zatoka arabska;Golfo árabe;Golfo arabo;Arabisk golf;Arabský záliv;Arab-öböl;Arabische Golf;Golfo árabe;Арабский залив;arabialainen lahti;阿拉伯湾
arab_hassaniya;Arab Hassaniya;Hassaniya arabe;Arabisch Hassaniya;Arabski Hassaniya;Árabe hassaniya;Arabo hassaniya;Arabisk Hassaniya;Arabský Hassaniya;Hassaniya arab;Arabisch Hassaniya;Árabe hassaniya;Арабский Hassaniya;Hassaniya-arabialainen;阿拉伯哈萨尼亚
arab_khamseh;Arab Khamseh;Arabe Khamseh;Arabisch Khamseh;Arabski Khamseh;Árabe Khamseh;Arabo Khamseh;Arabisk Khamseh;Arabský Khamseh;Khamseh arab;Arabisch Khamseh;Árabe Khamseh;Арабский Khamseh;Khamseh-arabialainen;阿拉伯卡姆塞
arab_levantine;Arab Levantine;Arabe levantin;Arabisch levantin;Arabski lewantyński;Árabe levantino;Arabo levantino;Levantinsk arabisk;Levantinský Arab;Levantin arab;Levantijns Arabisch;Árabe levantino;Арабский ливанский;Levanttilainen arabialainen;黎凡特阿拉伯人
arab_marsh;Arab Marsh;Marais arabe;Arabischer Sumpf;Arabski bagno;Árabe de los pantanos;Arabo delle paludi;Arabisk träsk;Arabský bažina;Arab mocsár;Arabisch moeras;Árabe dos pântanos;Арабское болото;Arabien suo;阿拉伯沼泽
arab_mesopotamian;Arab Mesopotamian;Arabe mésopotamien;Mesopotamisch Arabisch;Arabski mezopotamski;Árabe mesopotámico;Arabo mesopotamico;Mesopotamisk arabisk;Mezopotámský Arab;Mezopotámiai arab;Mesopotamisch Arabisch;Árabe mesopotâmico;Месопотамский араб;Mesopotamialainen arabialainen;美索不达米亚阿拉伯人
arab_saharan;Arab Saharan;Arabe saharien;Saharisch Arabisch;Arabski saharyjski;Árabe sahariano;Arabo sahariano;Saharisk arabisk;Saharský Arab;Szahara arab;Sahara-Arabisch;Árabe sahariano;Сахарский араб;Saharalainen arabialainen;撒哈拉阿拉伯人
arab_sahrawi;Arab Sahrawi;Arabe sahraoui;Sahrauisch Arabisch;Arabski sahrawi;Árabe saharaui;Arabo saharaui;Sahrawi-arabisk;Sahrawský Arab;Sahrawi arab;Sahrawi-Arabisch;Árabe saharaui;Сахрави араб;Sahrawialainen arabialainen;撒哈拉维阿拉伯人
arab_shuwa;Arab Shuwa;Arabe Shuwa;Shuwa Arabisch;Arabski Shuwa;Árabe shuwa;Arabo shuwa;Shuwa-arabisk;Shuwa Arab;Shuwa arab;Shuwa Arabisch;Árabe shuwa;Шува арабский;Shuwa-arabialainen;舒瓦阿拉伯人
armenian;Armenian;Arménien;Armenisch;Ormiański;Armenio;Armeno;Armeniska;Arménský;Örmény;Armeens;Armênio;Армянский;Armenialainen;亚美尼亚人
aromanians;Aromanians;Aroumains;Aromunen;Arumuni;Arumanos;Aromeni;Aromuner;Aromuni;Arománok;Aroemenen;Arromeno;Арумыны;Aromaanit;阿罗马尼人
asian_minor;Asian Minor;Asie Mineure;Kleinasien;Azja Mniejsza;Asia Menor;Asia Minore;Mindre Asien;Malá Asie;Kis-Ázsia;Klein-Azië;Ásia Menor;Малая Азия;Vähä-Aasia;小亚细亚
assamese;Assamese;Assamais;Assamesisch;Asamski;Asamés;Assamese;Assamesiska;Ásamština;Asszámi;Assamees;Assamês;Ассамский;Assamilainen;阿萨姆语
assyrian;Assyrian;Assyrien;Assyrisch;Asyryjski;Asirio;Assiro;Assyrisk;Asyrský;Asszír;Assyrisch;Assírio;Ассирийский;Assyrialainen;亚述语
australian;Australian;Australien;Australier;Australijski;Australiano;Australiano;Australiensk;Australský;Ausztrál;Australisch;Australiano;Австралийский;Australialainen;澳大利亚人
austrian_german;Austrian German;Allemand autrichien;Österreichisches Deutsch;Austriacki niemiecki;Alemán austriaco;Tedesco austriaco;Österrikisk tyska;Rakouská němčina;Osztrák német;Oostenrijks Duits;Alemão austríaco;Австрийский немецкий;Itävaltalaissaksalainen;奥地利德语
avadhi;Avadhi;Avadhi;Avadhi;Awadhi;Avadhi;Avadhi;Avadhi;Avadhština;Avadhi;Avadhi;Avadhi;Авадхи;Avadhi;阿瓦德语
avar;Avar;Avar;Aware;Awar;Avario;Avaro;Avar;Avarština;Avár;Avar;Avar;Аварский;Avaari;阿瓦尔语
azande;Azande;Azandé;Azande;Azande;Azande;Azande;Azande;Azande;Azande;Azande;Azande;Азанде;Azande;阿赞德语
azerbaijani;Azerbaijani;Azerbaïdjanais;Aserbaidschanisch;Azerbejdżański;Azerbaiyano;Azero;Azerbajdzjansk;Ázerbájdžánský;Azerbajdzsáni;Azerbeidzjaans;Azerbaijano;Азербайджанский;Azerbaidzanilainen;阿塞拜疆语
bahrani;Bahrani;Bahreïnien;Bahrainisch;Bahrajński;Bahreiní;Bahreinita;Bahrainsk;Bahrajnský;Bahreini;Bahreins;Bahraini;Бахрейнский;Bahrainilainen;巴林语
bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Бай;Baikalainen;白语
bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Bakongo;Баконго;Bakongo;巴孔戈语
balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Balanta;Баланта;Balanta;巴兰塔语
bali;Bali;Balinais;Balinesisch;Baliński;Balinés;Balinese;Balinesisk;Balijský;Bali;Balinees;Balines;Балийский;Balilainen;巴厘语
balkar;Balkar;Balkar;Balkar;Balkarski;Balkar;Balkar;Balkar;Balkar;Balkár;Balkar;Balkar;Балкарский;Balkar;巴尔喀尔语
baluchi;Baluchi;Baloutche;Belutschisch;Beludżystański;Baluchi;Beluci;Baluchiska;Balúčský;Beludzs;Belutsjisch;Balúchi;Белуджский;Belutschilainen;俾路支语
bambara;Bambara;Bambara;Bambara;Bambara;Bambara;Bambara;Bambara;Bambarština;Bambara;Bambara;Bambara;Бамбара;Bambara;班巴拉语
banda;Banda;Banda;Banda;Banda;Banda;Banda;Banda;Banda;Banda;Banda;Banda;Банда;Banda;班达语
bari;Bari;Bari;Bari;Bari;Bari;Bari;Bari;Bari;Bari;Bari;Bari;Бари;Bari;巴里语
bashkir;Bashkir;Bachkir;Baschkirisch;Baskirski;Bashkir;Baschiro;Bashkiriska;Baškirský;Baskír;Bashkir;Bashkir;Башкирский;Bashkirilainen;巴什基尔语
basque;Basque;Basque;Basque;Baskijski;Vasco;Basco;Baskiska;Baskický;Baszk;Basque;Basco;Баскский;Baskilainen;巴斯克语
bataks;Bataks;Batak;Batak;Batak;Batak;Batacchi;Batak;Batakština;Baták;Batak;Bataks;Батак;Batak;巴塔克语
baya_mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Baya Mandjia;Бая-Манджия;Baya Mandjia;巴雅曼贾语
beja;Beja;Beja;Beja;Bedża;Beja;Beja;Beja;Beja;Beja;Beja;Beja;Беджа;Beja;贝贾语
bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Bemba;Бемба;Bemba;本巴语
bengali;Bengali;Bengali;Bengalisch;Bengalski;Bengalí;Bengalese;Bengaliska;Bengálský;Bengáli;Bengaals;Bengali;Бенгальский;Bengalilainen;孟加拉语
bengali_hindu;Bengali Hindu;Bengali hindou;Bengalisch-Hindu;Bengalski hinduski;Bengalí hindú;Bengalese indù;Bengalisk hindu;Bengálský hinduista;Bengáli hindu;Bengaalse hindoe;Bengali hindu;Бенгальский индуист;Bengalihindulainen;孟加拉印教语
berber;Berber;Berbère;Berber;Berberyjski;Beréber;Berbero;Berber;Berberský;Berber;Berber;Berbere;Берберский;Berberilainen;柏柏尔语
betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Betsileo;Бецилео;Betsileo;贝齐莱奥语
betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Betsimisaraka;Бецимисарака;Betsimisaraka;贝齐米萨拉卡语
biko;Biko;Biko;Biko;Biko;Biko;Biko;Biko;Biko;Biko;Biko;Biko;Бико;Biko;比科语
black_anglo;Black Anglo;Anglo noir;Schwarzer Anglo;Czarny anglo;Anglo negro;Anglo nero;Svart anglo;Černý Anglo;Fekete angol;Zwarte Anglo;Anglo negro;Чёрный англо;Mustaanglo;黑人盎格鲁
black_dutch;Black Dutch;Néerlandais noir;Schwarzer Holländer;Czarny Holender;Neerlandés negro;Olandese nero;Svart holländare;Černý Holanďan;Fekete holland;Zwarte Nederlander;Holandês negro;Чёрный голландец;Musta hollantilainen;黑人荷兰
